State;Population;Representativity
SP;45919049; 0.219 
MG;21168791; 0.101 
RJ;17264943; 0.082 
BA;14873064; 0.071 
PR;11433957; 0.054 
RS;11377239; 0.054 
PE;9557071; 0.045 
CE;9132078; 0.043 
PA;8602865; 0.041 
SC;7164788; 0.034 
MA;7075181; 0.034 
GO;7018354; 0.033 
AM;4144597; 0.02 
ES;4018650; 0.019 
PB;4018127; 0.019 
RN;3506853; 0.017 
MT;3484466; 0.017 
AL;3337357; 0.016 
PI;3273227; 0.016 
DF;3015268; 0.014 
MS;2778986; 0.013 
SE;2298696; 0.011 
RO;1777225; 0.008 
TO;1572866; 0.007 
AC;881935; 0.004 
AP;845731; 0.004 
RR;605761; 0.003 
