Date;Total Cases;Daily New Cases;Active Cases;Total Deaths;Daily New Deaths;Total Recovered Cases
Feb 15;0;0;0;0;0;0
Feb 16;0;0;0;0;0;0
Feb 17;0;0;0;0;0;0
Feb 18;0;0;0;0;0;0
Feb 19;0;0;0;0;0;0
Feb 20;0;0;0;0;0;0
Feb 21;0;0;0;0;0;0
Feb 22;0;0;0;0;0;0
Feb 23;0;0;0;0;0;0
Feb 24;0;0;0;0;0;0
Feb 25;0;0;0;0;0;0
Feb 26;0;0;0;0;0;0
Feb 27;40;40;40;0;0;0
Feb 28;160;120;160;0;0;0
Feb 29;280;120;280;0;0;0
mar/01;440;160;440;0;0;0
mar/02;720;280;720;0;0;0
mar/03;1000;280;1000;0;0;0
mar/04;1360;360;1360;0;0;0
mar/05;1840;480;1840;0;0;0
mar/06;2360;520;2360;0;0;0
mar/07;3080;720;3080;0;0;0
mar/08;3680;600;3680;0;0;0
mar/09;4560;880;4560;0;0;0
mar/10;5440;880;5440;0;0;0
mar/11;6520;1080;6520;0;0;0
mar/12;8040;1520;8008;0;0;32
mar/13;9680;1640;9552;0;0;128
mar/14;11493;1813;11269;0;0;224
mar/15;13518;2025;13166;0;0;352
mar/16;15759;2241;15183;0;0;576
mar/17;18217;2458;17416;1;1;800
mar/18;20890;2673;19798;4;3;1088
mar/19;23774;2884;22288;7;4;1479
mar/20;26862;3088;24935;11;7;1916
mar/21;30145;3283;27614;18;11;2513
mar/22;33611;3466;30565;25;14;3021
mar/23;37247;3636;33439;34;20;3774
mar/24;41037;3790;36464;46;26;4527
mar/25;44966;3929;39453;59;33;5454
mar/26;49016;4050;42185;77;44;6754
mar/27;53170;4154;44921;92;48;8157
mar/28;57409;4239;47562;114;66;9733
mar/29;61715;4306;50121;136;70;11458
mar/30;66071;4356;52503;163;93;13405
mar/31;70458;4387;54731;201;108;15526
Apr 01;74859;4401;56764;242;134;17853
