Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,1,null,1,0,0
Feb 29,1,0,1,0,0
Mar 01,3,2,3,0,0
Mar 02,9,6,9,0,0
Mar 03,14,5,13,0,0
Mar 04,26,12,25,0,0
Mar 05,37,11,37,0,0
Mar 06,45,8,44,0,0
Mar 07,50,5,49,0,0
Mar 08,58,8,57,0,0
Mar 09,65,7,64,0,0
Mar 10,81,16,80,0,0
Mar 11,85,4,85,0,0
Mar 12,117,32,117,0,0
Mar 13,134,17,134,0,0
Mar 14,161,27,161,0,0
Mar 15,180,19,180,0,0
Mar 16,199,19,199,0,0
Mar 17,247,48,242,0,0
Mar 18,250,3,245,0,0
Mar 19,330,80,325,0,0
Mar 20,409,79,404,0,0
Mar 21,473,64,467,1,1
Mar 22,568,95,562,1,0
Mar 23,588,20,536,1,0
Mar 24,648,60,595,2,1
Mar 25,737,89,679,2,0
Mar 26,802,65,718,2,0
Mar 27,890,88,791,2,0
Mar 28,963,73,847,2,0
Mar 29,1020,57,883,2,0
Mar 30,1086,66,927,2,0
Mar 31,1135,49,935,2,0
Apr 01,1220,85,982,2,0
Apr 02,1319,99,1031,4,2
Apr 03,1364,45,1051,4,0
Apr 04,1417,53,1017,4,0
